regex,rat,redos,rescue,revealer,saferegex,k
; *(SKY[ _]|)(IM\-[AT]\d{3}[^;\/]+).* Build\/,0,1,0,0,0,1
; *([iI]Buddy)[ _]?(Connect)(?:_|\?_| |)([^;\/]*) *(?:Build|;),0,1,0,0,0,1
Android Application[^\-]+ - (Sony) ?(Ericsson|) (.+) \w+ -,0,1,0,0,0,1
Android [34].*; *(A100|A101|A110|A200|A210|A211|A500|A501|A510|A511|A700(?: Lite| 3G|)|A701|B1-A71|A1-\d{3}|B1-\d{3}|V360|V370|W500|W500P|W501|W501P|W510|W511|W700|Slider SL101|DA22[^;\/]+) Build,0,1,0,0,0,1
Android[\- ][\d]+(?:\.[\d]+)(?:\.[\d]+|)(?:;.*|); *(.+?) Build[\/ ],0,1,0,0,0,1
"Android[\- ][\d]+(?:\.[\d]+)(?:\.[\d]+|); *[A-Za-z]{0,2}\- *; *(.+?) Build[\/ ]",0,1,0,0,0,1
"Android[\- ][\d]+(?:\.[\d]+)(?:\.[\d]+|); *[A-Za-z]{2}[_\-][A-Za-z]{0,2}\-? *; *(.+?) Build[\/ ]",0,1,0,0,0,1
Android[\- ][\d]+(?:\.[\d]+)(?:\.[\d]+|); *\-?[A-Za-z]{2}; *(.+?) Build[\/ ],0,1,0,0,0,1
"Windows Phone [^;]+; .*?IEMobile\/[^;\)]+[;\)] ?(?:ARM; ?Touch; ?|Touch; ?|)(?:ALCATEL)[^;]*; *([^;,\)]+)",0,1,0,0,0,1
"Windows Phone [^;]+; .*?IEMobile\/[^;\)]+[;\)] ?(?:ARM; ?Touch; ?|Touch; ?|)(?:DELL|Dell)[^;]*; *([^;,\)]+)",0,1,0,0,0,1
"Windows Phone [^;]+; .*?IEMobile\/[^;\)]+[;\)] ?(?:ARM; ?Touch; ?|Touch; ?|)(?:HUAWEI)[^;]*; *(?:HUAWEI |)([^;,\)]+)",0,1,0,0,0,1
"Windows Phone [^;]+; .*?IEMobile\/[^;\)]+[;\)] ?(?:ARM; ?Touch; ?|Touch; ?|)(?:LG|Lg)[^;]*; *(?:LG[ \-]|)([^;,\)]+)",0,1,0,0,0,1
"Windows Phone [^;]+; .*?IEMobile\/[^;\)]+[;\)] ?(?:ARM; ?Touch; ?|Touch; ?|)(?:Microsoft(?: Corporation|))[^;]*; *([^;,\)]+)",0,1,0,0,0,1
"Windows Phone [^;]+; .*?IEMobile\/[^;\)]+[;\)] ?(?:ARM; ?Touch; ?|Touch; ?|)(?:NOKIA|Nokia)[^;]*; *(RM-\d{3,})",0,1,0,0,0,1
"Windows Phone [^;]+; .*?IEMobile\/[^;\)]+[;\)] ?(?:ARM; ?Touch; ?|Touch; ?|)(?:rv:11; |)(?:NOKIA|Nokia)[^;]*; *(?:NOKIA ?|Nokia ?|LUMIA ?|[Ll]umia ?|)(\d{3,10}[^;\)]*)",0,1,0,0,0,1
"Windows Phone [^;]+; .*?IEMobile\/[^;\)]+[;\)] ?(?:ARM; ?Touch; ?|Touch; ?|WpsLondonTest; ?|)(?:ASUS|Asus)[^;]*; *([^;,\)]+)",0,1,0,0,0,1
"Windows Phone [^;]+; .*?IEMobile\/[^;\)]+[;\)] ?(?:ARM; ?Touch; ?|Touch; ?|WpsLondonTest; ?|)(?:HTC|Htc|HTC_blocked[^;]*)[^;]*; *(?:HTC|)([^;,\)]+)",0,1,0,0,0,1
"Windows Phone [^;]+; .*?IEMobile\/[^;\)]+[;\)] ?(?:ARM; ?Touch; ?|Touch; ?|WpsLondonTest; ?|)(?:SAMSUNG)[^;]*; *(?:SAMSUNG |)([^;,\.\)]+)",0,1,0,0,0,1
"Windows Phone [^;]+; .*?IEMobile\/[^;\)]+[;\)] ?(?:ARM; ?Touch; ?|Touch; ?|WpsLondonTest; ?|)(?:TOSHIBA|FujitsuToshibaMobileCommun)[^;]*; *([^;,\)]+)",0,1,0,0,0,1
