regex,rat,redos,rescue,revealer,saferegex,k
(ftp|FTP|sftp|SFTP|http|HTTP|https|HTTPS|webdav|WEBDAV|smb|SMB):\/\/(.+:.+@)*([^:]+)([ 	]*:[0-9]+)*([ 	]*:)*(\/*?.*),0,1,0,0,0,1
(ftp|FTP|sftp|SFTP|http|HTTP|https|HTTPS|webdav|WEBDAV|smb|SMB):\/\/(.+:.+@)*([^:]+?\/*)([ 	]*:[0-9]+)*([ 	]*:)*(\/.*),0,1,0,0,0,1
(iCab|Lunascape|Opera|Android|Jasmine|Polaris|Microsoft SkyDriveSync|The Bat!) (\d+)\.(\d+)\.?(\d+)?,0,1,0,0,0,1
(iPod|iPhone|iPad).+Version\/(\d+)\.(\d+)(?:\.(\d+))?,0,1,0,0,0,1
(iPod|iPhone|iPad).+Version\/(\d+)\.(\d+)(?:\.(\d+))?.*[ +]Safari,0,1,0,0,0,1
(iPod|iPod touch|iPhone|iPad);.*CPU.*OS[ +](\d+)_(\d+)(?:_(\d+))?.* AppleNews\/\d+\.\d+\.\d+?,0,1,0,0,0,1
(iPod|iPod touch|iPhone|iPad);.*CPU.*OS[ +](\d+)_(\d+)(?:_(\d+))?.*Mobile,0,1,0,0,0,1
(iPod|iPod touch|iPhone|iPad);.*CPU.*OS[ +](\d+)_(\d+)(?:_(\d+))?.*Mobile.*[ +]Safari,0,1,0,0,0,1
(philpodder)\/(\d+)\.(\d+)\.?([^.\s]+)?\.?([^.\s]+)?,0,1,0,0,0,1
(podracer|jPodder) v ?(\d+)\.(\d+)\.?(\d+)?,0,1,0,0,0,1
(rekonq)\/(\d+)\.(\d+)\.?(\d+)? Safari,0,1,0,0,0,1
(x86_64|aarch64)\ (\d+)+\.(\d+)+\.(\d+)+.*Chrome.*(?:CitrixChromeApp)$,1,1,1,1,0,4
(|\|)(?:[^\n]|\\\\.|\$\{<expr>\})*?\1,0,1,0,0,0,1
.*``.*``.*,0,1,0,0,1,2
/\[[^\]]*?\]\([^\)]*?\)|`[^`]*?`|<[^>]*?>,0,0,0,0,1,1
/\s*$/,0,0,0,0,1,1
/^(.+\.)*localhost$/.test(url.host),0,0,0,0,1,1
"/^([`~]+|[^`~])(?: {2,}\n)|[\s\S]*?(?:(?=[\\\\<!\[`~]|\b_|https?://|ftp?://|www\.|$)|[^ ](?= {2,}\n))/",0,0,1,1,0,2
/^(\-|\+)?([1-9]+[0-9]*)$/,0,0,0,0,1,1
