regex,rat,redos,rescue,revealer,saferegex,k
"((xmlns:.*?=[,].*?[,])|(xmlns=[,].*?[,]))",0,1,0,0,1,2
((|)[a-z0-9/\.\?\=\&]*(\.htm|\.asp|\.php|\.jsp)[a-z0-9/\.\?\=\&]*(|))|(href=*?[a-z0-9/\.\?\=\&]*),0,0,0,1,0,1
((|)[a-z0-9\/\.\?\=\&]*(\.htm|\.asp|\.php|\.jsp)[a-z0-9\/\.\?\=\&]*(|))|(href=*?[a-z0-9\/\.\?\=\&]*),0,1,0,0,0,1
"()([0-9]*)(,)([0-9]*)(\))",0,1,0,0,1,2
"(-?(90[ :°d]*00[ :\\m]*00(\.0+)?|[0-8][0-9][ :°d]*[0-5][0-9][ :\\m]*[0-5][0-9](\.\d+)?)[ :\?\s]*(N|n|S|s)?)[ ,]*(-?(180[ :°d]*00[ :\\m]*00(\.0+)?|(1[0-7][0-9]|0[0-9][0-9])[ :°d]*[0-5][0-9][ :\\m]*[0-5][0-9](\.\d+)?)[ :\?\s]*(E|e|W|w)?)",0,1,0,0,1,2
"(-?(\d*\.\d{1}?\d*|\d{1,}))",0,0,0,0,1,1
"(-\d{1,} | \d{1,} | \d{1,}-\d{1,} | \d{1,}-)(,(-\d{1,} | \d{1,} | \d{1,}-\d{1,} | \d{1,}))*",0,0,0,0,1,1
(.*$|Rem((\t| ).*$|$)|(.|)*?),0,0,0,0,1,1
(.*)-----(BEGIN|END)([^-]*)-----(.*),0,1,0,0,1,2
(.*?color\s*?[=|:]\s*?) # IF found THEN move ahead,0,1,0,0,1,2
(.*[\\\\/]|^)(.*?)(?:[\.]|$)([^\.\s]*$),0,0,1,0,0,1
(.*[\\\\\/]|^)(.*?)(?:[\.]|$)([^\.\s]*$),0,1,0,0,0,1
(.*\.([wW][mM][aA])|([mM][pP][3])$),0,1,0,0,1,2
(.*\.jpe?g|.*\.JPE?G),0,1,0,0,1,2
"(.+\s)?<?[a-z\._0-9]+[^\._]@([a-z0-9]+\.)+[a-z0-9]{2,6}>?;?",0,1,0,0,0,1
(/.*)*/,0,0,0,0,1,1
(//)(.+)(//),0,0,0,0,1,1
(//-->\s*)?</?SCRIPT([^>]*)>(\s*<!--\s)?,0,0,0,0,1,1
(/\*(\s*|.*?)*\*/)|(--.*),1,0,1,1,0,3
(/\*(\s*|.*?)*\*/)|(//.*),1,0,1,1,0,3
(/\*[\d\D]*?\*/)|(/\*(\s*|.*?)*\*/)|(//.*)|(/\\\\*[\\\\d\\\\D]*?\\\\*/)|([\r\n ]*//[^\r\n]*)+,1,0,1,1,0,3
(01*0|1)*,0,0,0,0,1,1
(1)?-?\(?\s*([0-9]{3})\s*\)?\s*-?([0-9]{3})\s*-?\s*([0-9]{4})\s*,0,1,1,1,0,3
(< *balise[ *>|:(.|\n)*>| (.|\n)*>](.|\n)*</balise *>),0,0,0,0,1,1
(<(!--.*|script)(.|\n[^<])*(--|script)>)|(<|<)(/?[\w!?]+)\s?[^<]*(>|>)|(\&[\w]+\;),0,0,1,0,1,2
(<(!--.*|script)(.|\n[^<])*(--|script)>)|(<|<)(\/?[\w!?]+)\s?[^<]*(>|>)|(\&[\w]+\;),0,1,0,0,0,1
(<(!--|script)(.|\n[^<])*(--|script)>)|(<|<)(/?[\w!?]+)\s?[^<]*(>|>)|(\&[\w]+\;),0,0,1,0,1,2
(<(!--|script)(.|\n[^<])*(--|script)>)|(<|<)(\/?[\w!?]+)\s?[^<]*(>|>)|(\&[\w]+\;),0,1,0,0,0,1
(<(?!\btd|tr\b)(\w*)[^>\/]*>)(\s*)(<\/\2>),0,1,0,0,0,1
(<(?:.*?)\s)href\s*=([\s])*\/?([^:#]+?)\2((?:.*?)>),0,1,0,0,0,1
(<(tag1|tag2)[^>]*\/?>)[\w\S\s]*?(<\/(?:\2)>),0,1,0,0,0,1
(<[^>]*?tag[^>]*?(?:identify_by)[^>]*>)((?:.*?(?:<[ \r\t]*tag[^>]*>?.*?(?:<.*?/.*?tag.*?>)?)*)*)(<[^>]*?/[^>]*?tag[^>]*?>),0,0,1,1,0,2
(<[^>]*?tag[^>]*?(?:identify_by)[^>]*>)((?:.*?(?:<[ \r\t]*tag[^>]*>?.*?(?:<.*?\/.*?tag.*?>)?)*)*)(<[^>]*?\/[^>]*?tag[^>]*?>),0,1,0,0,0,1
(<\/?\w*[^<>]*>),0,1,0,0,0,1
(<b>)([^<>]+)(</b>),0,0,0,0,1,1
(<input )(.*?)(>),0,1,0,0,1,2
(<meta [.\w\W]*?\>)|(<style [.\w\W]*?</style>)|(<link [.\w\W]*?\>)|(<script [.\w\W]*?</script>),0,0,0,0,1,1
(<meta [.\w\W]*?\>)|(<style [.\w\W]*?<\/style>)|(<link [.\w\W]*?\>)|(<script [.\w\W]*?<\/script>),0,1,0,0,0,1
(?!.*([abcde]).*\1)^[abcde]{5}$,0,1,1,0,0,2
(?!^([0-9]+[-]?[0-9]+)$)(?!^([0-9]+[[\\\\s]*]?[0-9]+)$)^([0-9]+\.?[0-9]+$|(^[-]?[0-9]+([[\\\\s]*]?)$)|^([-]?)[0-9]+\.?[0-9]+([[\\\\s]*]?)|([0-9]+))$,0,1,1,1,0,3
(?:(.):)?(?:(.*)\\\\)?((?:[^.]|.(?=[^.]*\.))*)(?:\.(.*))?,0,1,0,0,0,1
(?:(.):)?(?:(.*)\\\\)?(?:(.*)\.)?(.*),0,1,0,0,0,1
"(?:(?:[123]|I{1,3})\s*)?(?:[A-Z][a-zA-Z]+|Song of Songs|Song of Solomon).?\s*(?:1?[0-9]?[0-9]):\s*\d{1,3}(?:[,-]\s*\d{1,3})*(?:;\s*(?:(?:[123]|I{1,3})\s*)?(?:[A-Z][a-zA-Z]+|Song of Songs|Song of Solomon)?.?\s*(?:1?[0-9]?[0-9]):\s*\d{1,3}(?:[,-]\s*\d{1,3})*)*",0,0,1,0,0,1
(?:(?:[a-zA-Z0-9/;\?&=:\-_\$\+!\*\(\|\\\\~\[\]#%\.](?!www))+(?:\.[Cc]om|\.[Ee]du|\.[gG]ov|\.[Ii]nt|\.[Mm]il|\.[Nn]et|\.[Oo]rg|\.[Bb]iz|\.[Ii]nfo|\.[Nn]ame|\.[Pp]ro|\.[Aa]ero|\.[cC]oop|\.[mM]useum|\.[Cc]at|\.[Jj]obs|\.[Tt]ravel|\.[Aa]rpa|\.[Mm]obi|\.[Aa]c|\.[Aa]d|\.[aA]e|\.[aA]f|\.[aA]g|\.[aA]i|\.[aA]l|\.[aA]m|\.[aA]n|\.[aA]o|\.[aA]q|\.[aA]r|\.[aA]s|\.[aA]t|\.[aA]u|\.[aA]w|\.[aA]z|\.[aA]x|\.[bB]a|\.[bB]b|\.[bB]d|\.[bB]e|\.[bB]f|\.[bB]g|\.[bB]h|\.[bB]i|\.[bB]j|\.[bB]m|\.[bB]n|\.[bB]o|\.[bB]r|\.[bB]s|\.[bB]t|\.[bB]v|\.[bB]w|\.[bB]y|\.[bB]z|\.[cC]a|\.[cC]c|\.[cC]d|\.[cC]f|\.[cC]g|\.[cC]h|\.[cC]i|\.[cC]k|\.[cC]l|\.[cC]m|\.[cC]n|\.[cC]o|\.[cC]r|\.[cC]s|\.[cC]u|\.[cC]v|\.[cC]x|\.[cC]y|\.[cC]z|\.[dD]e|\.[dD]j|\.[dD]k|\.[dD]m|\.[dD]o|\.[dD]z|\.[eE]c|\.[eE]e|\.[eE]g|\.[eE]h|\.[eE]r|\.[eE]s|\.[eE]t|\.[eE]u|\.[fF]i|\.[fF]j|\.[fF]k|\.[fF]m|\.[fF]o|\.[fF]r|\.[gG]a|\.[gG]b|\.[gG]d|\.[gG]e|\.[gG]f|\.[gG]g|\.[gG]h|\.[gG]i|\.[gG]l|\.[gG]m|\.[gG]n|\.[gG]p|\.[gG]q|\.[gG]r|\.[gG]s|\.[gG]t|\.[gG]u|\.[gG]w|\.[gG]y|\.[hH]k|\.[hH]m|\.[hH]n|\.[hH]r|\.[hH]t|\.[hH]u|\.[iI]d|\.[iI]e|\.[iI]l|\.[iI]m|\.[iI]n|\.[iI]o|\.[iI]q|\.[iI]r|\.[iI]s|\.[iI]t|\.[jJ]e|\.[jJ]m|\.[jJ]o|\.[jJ]p|\.[kK]e|\.[kK]g|\.[kK]h|\.[kK]i|\.[kK]m|\.[kK]n|\.[kK]p|\.[kK]r|\.[kK]w|\.[kK]y|\.[kK]z|\.[lL]a|\.[lL]b|\.[lL]c|\.[lL]i|\.[lL]k|\.[lL]r|\.[lL]s|\.[lL]t|\.[lL]u|\.[lL]v|\.[lL]y|\.[mM]a|\.[mM]c|\.[mM]d|\.[mM]g|\.[mM]h|\.[mM]k|\.[mM]l|\.[mM]m|\.[mM]n|\.[mM]o|\.[mM]p|\.[mM]q|\.[mM]r|\.[mM]s|\.[mM]t|\.[mM]u|\.[mM]v|\.[mM]w|\.[mM]x|\.[mM]y|\.[mM]z|\.[nN]a|\.[nN]c|\.[nN]e|\.[nN]f|\.[nN]g|\.[nN]i|\.[nN]l|\.[nN]o|\.[nN]p|\.[nN]r|\.[nN]u|\.[nN]z|\.[oO]m|\.[pP]a|\.[pP]e|\.[pP]f|\.[pP]g|\.[pP]h|\.[pP]k|\.[pP]l|\.[pP]m|\.[pP]n|\.[pP]r|\.[pP]s|\.[pP]t|\.[pP]w|\.[pP]y|\.[qP]a|\.[rR]e|\.[rR]o|\.[rR]u|\.[rR]w|\.[sS]a|\.[sS]b|\.[sS]c|\.[sS]d|\.[sS]e|\.[sS]g|\.[sS]h|\.[Ss]i|\.[sS]j|\.[sS]k|\.[sS]l|\.[sS]m|\.[sS]n|\.[sS]o|\.[sS]r|\.[sS]t|\.[sS]v|\.[sS]y|\.[sS]z|\.[tT]c|\.[tT]d|\.[tT]f|\.[tT]g|\.[tT]h|\.[tT]j|\.[tT]k|\.[tT]l|\.[tT]m|\.[tT]n|\.[tT]o|\.[tT]p|\.[tT]r|\.[tT]t|\.[tT]v|\.[tT]w|\.[tT]z|\.[uU]a|\.[uU]g|\.[uU]k|\.[uU]m|\.[uU]s|\.[uU]y|\.[uU]z|\.[vV]a|\.[vV]c|\.[vV]e|\.[vV]g|\.[vV]i|\.[vV]n|\.[vV]u|\.[wW]f|\.[wW]s|\.[yY]e|\.[yY]t|\.[yY]u|\.[zZ]a|\.[zZ]m|\.[zZ]w)),0,0,1,0,0,1
